Date,stock price
2017-12-27,51.072513580322266
2017-12-28,51.130985260009766
2017-12-29,50.711875915527344
2018-01-02,51.647560119628906
2018-01-03,51.01403045654297
2018-01-04,51.335670471191406
2018-01-05,51.31617736816406
2018-01-08,50.80934524536133
2018-01-09,50.760616302490234
2018-01-10,52.417545318603516
2018-01-11,54.990665435791016
2018-01-12,56.98872756958008
2018-01-16,56.51114273071289
2018-01-17,56.686580657958984
2018-01-18,56.86202621459961
2018-01-19,56.58911895751953
2018-01-22,56.62810134887695
2018-01-23,56.813289642333984
2018-01-24,53.40195083618164
2018-01-25,51.70603942871094
2018-01-26,51.725528717041016
2018-01-29,51.34541320800781
2018-01-30,51.257694244384766
2018-01-31,52.94386672973633
2018-02-01,52.5150146484375
2018-02-02,50.78010940551758
2018-02-05,48.5926513671875
